FUEL_BASED_GEN_TPS_1,FUEL_BASED_GEN_TPS_2,DispatchGenRenewableMW
Oahu_Airport_DSG,2308061706,0.0
Oahu_Airport_DSG,2308061708,0.0
Oahu_Airport_DSG,2308061710,0.0
Oahu_Airport_DSG,2308061712,0.0
Oahu_Airport_DSG,2308061714,0.0
Oahu_Airport_DSG,2308061716,0.0
Oahu_Airport_DSG,2308061718,0.0
Oahu_Airport_DSG,2308061720,0.0
Oahu_Airport_DSG,2308061722,0.0
Oahu_Airport_DSG,2308081800,0.0
Oahu_Airport_DSG,2308081802,0.0
Oahu_Airport_DSG,2308081804,0.0
Oahu_Airport_DSG,2308081806,0.0
Oahu_Airport_DSG,2308081808,0.0
Oahu_Airport_DSG,2308081810,0.0
Oahu_Airport_DSG,2308081812,0.0
Oahu_Airport_DSG,2308081814,0.0
Oahu_Airport_DSG,2308081816,0.0
Oahu_Airport_DSG,2308081818,8.0
Oahu_Airport_DSG,2308081820,0.0
Oahu_Airport_DSG,2308081822,0.0
Oahu_Airport_DSG,2308091000,0.0
Oahu_Airport_DSG,2308091002,0.0
Oahu_Airport_DSG,2308091004,0.0
Oahu_Airport_DSG,2308091006,0.0
Oahu_Airport_DSG,2308091008,0.0
Oahu_Airport_DSG,2308091010,0.0
Oahu_Airport_DSG,2308091012,0.0
Oahu_Airport_DSG,2308091014,0.0
Oahu_Airport_DSG,2308091016,0.0
Oahu_Airport_DSG,2308091018,8.0
Oahu_Airport_DSG,2308091020,0.0
Oahu_Airport_DSG,2308091022,0.0
Oahu_Airport_DSG,2308112200,0.0
Oahu_Airport_DSG,2308112202,0.0
Oahu_Airport_DSG,2308112204,0.0
Oahu_Airport_DSG,2308112206,0.0
Oahu_Airport_DSG,2308112208,0.0
Oahu_Airport_DSG,2308112210,0.0
Oahu_Airport_DSG,2308112212,0.0
Oahu_Airport_DSG,2308112214,0.0
Oahu_Airport_DSG,2308112216,0.0
Oahu_Airport_DSG,2308112218,0.0
Oahu_Airport_DSG,2308112220,0.0
Oahu_Airport_DSG,2308112222,0.0
Oahu_Airport_DSG,2507011200,0.0
Oahu_Airport_DSG,2507011202,0.0
Oahu_Airport_DSG,2507011204,0.0
Oahu_Airport_DSG,2507011206,0.0
Oahu_Airport_DSG,2507011208,0.0
Oahu_Airport_DSG,2507011210,0.0
Oahu_Airport_DSG,2507011212,0.0
Oahu_Airport_DSG,2507011214,0.0
Oahu_Airport_DSG,2507011216,0.0
Oahu_Airport_DSG,2507011218,0.0
Oahu_Airport_DSG,2507011220,0.0
Oahu_Airport_DSG,2507011222,0.0
Oahu_Airport_DSG,2507011900,0.0
Oahu_Airport_DSG,2507011902,0.0
Oahu_Airport_DSG,2507011904,0.0
Oahu_Airport_DSG,2507011906,0.0
Oahu_Airport_DSG,2507011908,0.0
Oahu_Airport_DSG,2507011910,0.0
Oahu_Airport_DSG,2507011912,0.0
Oahu_Airport_DSG,2507011914,0.0
Oahu_Airport_DSG,2507011916,0.0
Oahu_Airport_DSG,2507011918,8.0
Oahu_Airport_DSG,2507011920,0.0
Oahu_Airport_DSG,2507011922,0.0
Oahu_Airport_DSG,2507021200,0.0
Oahu_Airport_DSG,2507021202,0.0
Oahu_Airport_DSG,2507021204,0.0
Oahu_Airport_DSG,2507021206,0.0
Oahu_Airport_DSG,2507021208,0.0
Oahu_Airport_DSG,2507021210,0.0
Oahu_Airport_DSG,2507021212,0.0
Oahu_Airport_DSG,2507021214,0.0
Oahu_Airport_DSG,2507021216,0.0
Oahu_Airport_DSG,2507021218,0.0
Oahu_Airport_DSG,2507021220,0.0
Oahu_Airport_DSG,2507021222,0.0
Oahu_Airport_DSG,2507050200,0.0
Oahu_Airport_DSG,2507050202,0.0
Oahu_Airport_DSG,2507050204,0.0
Oahu_Airport_DSG,2507050206,0.0
Oahu_Airport_DSG,2507050208,0.0
Oahu_Airport_DSG,2507050210,0.0
Oahu_Airport_DSG,2507050212,0.0
Oahu_Airport_DSG,2507050214,0.0
Oahu_Airport_DSG,2507050216,0.0
Oahu_Airport_DSG,2507050218,0.0
Oahu_Airport_DSG,2507050220,0.0
Oahu_Airport_DSG,2507050222,0.0
Oahu_Airport_DSG,2507092200,0.0
Oahu_Airport_DSG,2507092202,0.0
Oahu_Airport_DSG,2507092204,0.0
Oahu_Airport_DSG,2507092206,0.0
Oahu_Airport_DSG,2507092208,0.0
Oahu_Airport_DSG,2507092210,0.0
Oahu_Airport_DSG,2507092212,0.0
Oahu_Airport_DSG,2507092214,0.0
Oahu_Airport_DSG,2507092216,0.0
Oahu_Airport_DSG,2507092218,0.0
Oahu_Airport_DSG,2507092220,0.0
Oahu_Airport_DSG,2507092222,0.0
Oahu_Airport_DSG,2507102700,0.0
Oahu_Airport_DSG,2507102702,0.0
Oahu_Airport_DSG,2507102704,0.0
Oahu_Airport_DSG,2507102706,0.0
Oahu_Airport_DSG,2507102708,0.0
Oahu_Airport_DSG,2507102710,0.0
Oahu_Airport_DSG,2507102712,0.0
Oahu_Airport_DSG,2507102714,0.0
Oahu_Airport_DSG,2507102716,0.0
Oahu_Airport_DSG,2507102718,0.0
Oahu_Airport_DSG,2507102720,0.0
Oahu_Airport_DSG,2507102722,0.0
Oahu_Airport_DSG,2507121500,0.0
Oahu_Airport_DSG,2507121502,0.0
Oahu_Airport_DSG,2507121504,0.0
Oahu_Airport_DSG,2507121506,0.0
Oahu_Airport_DSG,2507121508,0.0
Oahu_Airport_DSG,2507121510,0.0
Oahu_Airport_DSG,2507121512,0.0
Oahu_Airport_DSG,2507121514,0.0
Oahu_Airport_DSG,2507121516,0.0
Oahu_Airport_DSG,2507121518,8.0
Oahu_Airport_DSG,2507121520,0.0
Oahu_Airport_DSG,2507121522,0.0
Oahu_Airport_DSG,2508022000,0.0
Oahu_Airport_DSG,2508022002,0.0
Oahu_Airport_DSG,2508022004,0.0
Oahu_Airport_DSG,2508022006,0.0
Oahu_Airport_DSG,2508022008,0.0
Oahu_Airport_DSG,2508022010,0.0
Oahu_Airport_DSG,2508022012,0.0
Oahu_Airport_DSG,2508022014,0.0
Oahu_Airport_DSG,2508022016,0.0
Oahu_Airport_DSG,2508022018,8.0
Oahu_Airport_DSG,2508022020,0.0
Oahu_Airport_DSG,2508022022,0.0
Oahu_Airport_DSG,2508041000,0.0
Oahu_Airport_DSG,2508041002,0.0
Oahu_Airport_DSG,2508041004,0.0
Oahu_Airport_DSG,2508041006,0.0
Oahu_Airport_DSG,2508041008,0.0
Oahu_Airport_DSG,2508041010,0.0
Oahu_Airport_DSG,2508041012,0.0
Oahu_Airport_DSG,2508041014,0.0
Oahu_Airport_DSG,2508041016,0.0
Oahu_Airport_DSG,2508041018,8.0
Oahu_Airport_DSG,2508041020,0.0
Oahu_Airport_DSG,2508041022,0.0
Oahu_Airport_DSG,2508061700,0.0
Oahu_Airport_DSG,2508061702,0.0
Oahu_Airport_DSG,2508061704,0.0
Oahu_Airport_DSG,2508061706,0.0
Oahu_Airport_DSG,2508061708,0.0
Oahu_Airport_DSG,2508061710,0.0
Oahu_Airport_DSG,2508061712,0.0
Oahu_Airport_DSG,2508061714,0.0
Oahu_Airport_DSG,2508061716,0.0
Oahu_Airport_DSG,2508061718,0.0
Oahu_Airport_DSG,2508061720,8.0
Oahu_Airport_DSG,2508061722,0.0
Oahu_Airport_DSG,2508081800,0.0
Oahu_Airport_DSG,2508081802,0.0
Oahu_Airport_DSG,2508081804,0.0
Oahu_Airport_DSG,2508081806,0.0
Oahu_Airport_DSG,2508081808,0.0
Oahu_Airport_DSG,2508081810,0.0
