owner,variable,gen_tech,gen_vintage,gen_is_intermittent,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049
HECO,non_renewable_output,Kahe_3,1970,0,361227.83147073706,358919.62624409585,324204.7482806051,742265.8203817832,734620.5290031638,537480.0780780611,312991.2943349034,279518.94620374555,128032.42168072301,157593.89940415812,120423.97396736206,133050.28375795006,,,,,,,,,,,,,,,,,,
HECO,non_renewable_output,Kahe_4,1972,0,354372.6321762011,350892.3348565047,323332.3053775216,552896.6252075294,493915.80804823275,132343.34941271,71930.68665348549,45748.90921595591,21811.32964861468,11058.518033055683,12929.535486629573,,,,,,,,,,,,,,,,,,,
HECO,non_renewable_output,Kahe_5,1974,0,570046.9714644994,556219.4202578675,489103.1127922968,1164958.299862447,1101376.0027510326,885215.3193998461,532776.3060605838,526458.8316761048,,,,,,,,,,,,,,,,,,,,,,
HECO,non_renewable_output,Kahe_6,1981,0,502424.07245791354,499982.4687034283,477338.96698762034,251143.14616836148,373168.10289149784,147599.39354624713,,28867.720418645386,,,,,,,,,,,,,,,,,,,,,,
HECO,non_renewable_output,Waiau_10,1973,0,,,,,,2213.3961485557043,1771.379642365887,1299.54057771664,2189.799174690508,2193.9160935350737,,1083.25405404788,,,,,,,,,,,,,,,,,,
HECO,non_renewable_output,Waiau_5,1959,0,,,,2878.830811554341,,22473.886704235698,,,,,,,,,,,,,,,,,,,,,,,,
HECO,non_renewable_output,Waiau_6,1961,0,,,,4608.338376891325,2981.653370013749,17170.563961485554,,,,,,,,,,,,,,,,,,,,,,,,
HECO,non_renewable_output,Waiau_7,1966,0,248899.50835192626,244289.9130677365,236520.0,,15705.08921461654,,18238.905262415657,17051.382618991694,4663.163686382392,4663.163686382392,,,,,,,,,,,,,,,,,,,,
HECO,non_renewable_output,Waiau_8,1968,0,275959.7361288572,274198.57570958807,246287.13256989745,,,61202.062928387,5792.203576341114,13731.430536451096,26198.26320154506,16600.256823137493,,,,,,,,,,,,,,,,,,,,
HECO,non_renewable_output,Waiau_9,1973,0,,,,,,1107.8528198074277,1291.507565337001,977.5171939477306,829.4085281980745,1167.0962861072912,,930.1224209078405,,,,,,,,,,,,,,,,,,
HECO,renewable_output,Airport_DSG,2013,0,,,,3414.030261348005,1871.6918844566706,2674.993122420909,2265.309491059147,1943.9889958734545,1542.338376891333,1534.3053645116913,393.6176066024752,,,,,,,,,,,,,-8.219229973381199e-12,,,,,,
HECO,renewable_output,CIP_CT,2009,0,,,,,,,,,,,,,,,,,,,,,,,,1.963482715863288e-11,,,,,,
HECO,renewable_output,IC_Schofield,2018,0,,580.3248968363138,,1018.726374664182,674.9456476103245,3816.281465460261,3467.7698109698686,3590.7739243194133,5104.670704006121,4973.781711595714,1187.462786566762,1435.0479890780264,,,,,,,,,,,,,,,,,,
HECO,renewable_output,Kahe_1,1963,0,,-8.58087609220999e-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HECO,renewable_output,Kahe_5,1974,0,,,,,,,-1.1580175821189044e-08,,,,,,,,,,,,,,,,,,,,,,,
HECO,total_output,Airport_DSG,2013,0,,,,3414.030261348005,1871.6918844566706,2674.993122420909,2265.309491059147,1943.9889958734545,1542.338376891333,1534.3053645116913,393.6176066024752,,,,,,,,,,,,,-8.219229973381199e-12,,,,,,
HECO,total_output,CIP_CT,2009,0,,,,,,,3117.8129298486933,15543.87895460798,6461.554332874825,9263.067400275091,6325.997248968364,,,,,,,,,,,,,1.963482715863288e-11,,,,,,
HECO,total_output,IC_Schofield,2018,0,,580.3248968363138,,2449.6577070782637,1622.9930319342047,9176.736302057892,8338.695507531116,8634.474611481743,12274.832813950989,11960.093511029172,2855.405965061813,3450.756212757305,,,,,,,,,,,,,,,,,,
HECO,total_output,Kahe_1,1963,0,331148.7394548482,327865.5265178189,321500.4263631787,215536.82751770216,250290.8185468556,22134.2071256455,22441.324621733187,44926.92285940409,,8679.860100654776,,,,,,,,,,,,,,,,,,,,
HECO,total_output,Kahe_2,1964,0,326479.1784441924,327570.07840440195,321492.0000000001,525179.4510318051,557720.3457613509,376624.25504526414,66999.40967555178,91560.79702332892,,5606.6409903715585,9811.636599350546,9606.640185841541,,,,,,,,,,,,,,,,,,
HECO,total_output,Kahe_3,1970,0,361227.83147073706,358919.62624409585,324204.7482806051,742265.8203817832,734620.5290031638,537480.0780780611,312991.2943349034,279518.94620374555,128032.42168072301,157593.89940415812,120423.97396736206,133050.28375795006,,,,,,,,,,,,,,,,,,
HECO,total_output,Kahe_4,1972,0,354372.6321762011,350892.3348565047,323332.3053775216,552896.6252075294,493915.80804823275,132343.34941271,71930.68665348549,45748.90921595591,21811.32964861468,11058.518033055683,12929.535486629573,,,,,,,,,,,,,,,,,,,
HECO,total_output,Kahe_5,1974,0,570046.9714644994,556219.4202578675,489103.1127922968,1164958.299862447,1101376.0027510326,885215.3193998461,532776.3060605722,526458.8316761048,,,,,,,,,,,,,,,,,,,,,,
