GENERATION_PROJECT,build_year,gen_predetermined_cap,gen_predetermined_storage_energy_mwh
Oahu_CentralTrackingPV_PV_12,2029,0.0,.
Oahu_CentralTrackingPV_PV_12,2030,0.0,.
Oahu_CentralTrackingPV_PV_12,2031,0.0,.
Oahu_CentralTrackingPV_PV_12,2032,0.0,.
Oahu_CentralTrackingPV_PV_12,2033,0.0,.
Oahu_CentralTrackingPV_PV_12,2034,0.0,.
Oahu_CentralTrackingPV_PV_12,2035,0.0,.
Oahu_CentralTrackingPV_PV_12,2036,0.0,.
Oahu_CentralTrackingPV_PV_12,2037,0.0,.
Oahu_CentralTrackingPV_PV_12,2038,0.0,.
Oahu_CentralTrackingPV_PV_12,2039,0.0,.
Oahu_CentralTrackingPV_PV_12,2040,0.0,.
Oahu_CentralTrackingPV_PV_12,2041,0.0,.
Oahu_CentralTrackingPV_PV_12,2042,0.0,.
Oahu_CentralTrackingPV_PV_12,2043,0.0,.
